R101OD50
100 50  25    200
0  35   35    0
1  41   49    10
2  35   17    7
3  55   45    13
4  55   20    19
5  15   30    26
6  25   30    3
7  20   50    5
8  10   43    9
9  55   60    16
10  30   60    16
11  20   65    12
12  50   35    19
13  30   25    23
14  15   10    20
15  30   5    8
16  10   20    19
17  5   30    2
18  20   40    12
19  15   60    17
20  45   65    9
21  45   20    11
22  45   10    18
23  55   5    29
24  65   35    3
25  65   20    6
26  45   30    17
27  35   40    16
28  41   37    16
29  64   42    9
30  40   60    21
31  31   52    27
32  35   69    23
33  53   52    11
34  65   55    14
35  63   65    8
36  2   60    5
37  20   20    8
38  5   5    16
39  60   12    31
40  40   25    9
41  42   7    5
42  24   12    5
43  23   3    7
44  11   14    18
45  6   38    16
46  2   48    1
47  8   56    27
48  13   52    36
49  6   68    30
50  47   47    13
51  49   58    10
52  27   43    9
53  37   31    14
54  57   29    18
55  63   23    2
56  53   12    6
57  32   12    7
58  36   26    18
59  21   24    28
60  17   34    3
61  12   24    13
62  24   58    19
63  27   69    10
64  15   77    9
65  62   77    20
66  49   73    25
67  67   5    25
68  56   39    36
69  37   47    6
70  37   56    5
71  57   68    15
72  47   16    25
73  44   17    9
74  46   13    8
75  49   11    18
76  49   42    13
77  53   43    14
78  61   52    3
79  57   48    23
80  56   37    6
81  55   54    26
82  15   47    16
83  14   37    11
84  11   31    7
85  16   22    41
86  4   18    35
87  28   18    26
88  26   52    9
89  26   35    15
90  31   67    3
91  15   19    1
92  22   22    2
93  18   24    22
94  26   27    27
95  25   24    20
96  22   27    11
97  25   21    12
98  19   21    10
99  20   26    9
100  18   18    17
101  30   30    41
102  9   74    41
103  15   67    41
104  63   40    41
105  5   54    41
106  32   36    41
107  42   43    41
108  10   52    41
109  33   21    41
110  5   26    41
111  12   74    41
112  40   77    41
113  54   22    41
114  48   56    41
115  37   16    41
116  19   34    41
117  38   51    41
118  11   4    41
119  24   75    41
120  27   73    41
121  44   67    41
122  61   47    41
123  54   13    41
124  31   5    41
125  39   67    41
126  6   45    41
127  57   48    41
128  24   27    41
129  46   16    41
130  21   76    41
131  57   9    41
132  18   18    41
133  26   41    41
134  20   56    41
135  41   16    41
136  34   41    41
137  18   28    41
138  46   56    41
139  26   26    41
140  50   43    41
141  4   42    41
142  32   50    41
143  65   55    41
144  21   66    41
145  31   69    41
146  56   70    41
147  21   35    41
148  3   64    41
149  41   21    41
150  19   42    41
